X, Y0,Y0_error, Y1, Y1_error, Y2, Y2_error
-100.0,0.0,293.0,3.50E-06,293.0,0.0,0.0
0.0,100.0,507.9095721,3.50E-06,512.3702696,0.0,0.0
900.0,900.0,522.2012984,3.50E-06,514.6919852,3.85E-09,0.0
1800.0,900.0,523.650954,3.50E-06,514.9232889,1.21E-08,0.0
2700.0,900.0,525.6631533,3.50E-06,515.2463987,2.19E-08,0.0
3600.0,900.0,525.9132687,3.50E-06,515.2867456,3.27E-08,0.0
4500.0,900.0,526.2099559,3.50E-06,515.3346468,4.37E-08,0.0
5400.0,900.0,526.747924,3.50E-06,515.4216358,5.51E-08,0.0
6300.0,900.0,531.0598762,3.50E-06,516.1252594,6.86E-08,0.0
7200.0,900.0,533.7404418,3.50E-06,516.5684875,8.53E-08,0.0
