#features:X, Y0, Y0_error, Y1, Y1_error, Y2, Y2_error
#units:energy,intensity,intensity,intensity,intensity,intensity,intensity
-0.0998,8.48657e-05,1.55884e-05,8.44321e-05,1.53122e-05,0.000174163,2.22809e-05
-0.0994,8.17217e-05,1.30139e-05,0.000122558,1.66395e-05,0.00017506,1.99118e-05
-0.099,7.86727e-05,2.08335e-05,0.00010391,1.75712e-05,0.000148379,2.3159e-05
-0.0986,9.13478e-05,1.86182e-05,0.000107919,1.69478e-05,0.000126349,1.81769e-05
-0.0982,6.76878e-05,1.401e-05,9.37003e-05,1.52059e-05,0.000135381,1.60847e-05
-0.0978,7.52866e-05,1.8554e-05,9.37024e-05,1.67303e-05,0.000120946,1.9592e-05
-0.0974,7.86473e-05,1.53202e-05,8.67264e-05,1.34142e-05,0.000117529,1.66315e-05
-0.097,5.20828e-05,1.15878e-05,0.00010519,1.74367e-05,0.000143015,1.83402e-05
-0.0966,8.93177e-05,1.6413e-05,7.6891e-05,1.46259e-05,0.000152179,2.19285e-05
-0.0962,8.34147e-05,1.60837e-05,0.000110878,1.57169e-05,0.000139409,1.72319e-05
